物件名,URL,イメージ画像,賃料,管理費,間取り,専有面積,向き,物件種別,築年数,住所,最寄り駅と距離,敷金,礼金,保証金,敷引・償却,取り扱い店舗,取り扱い店舗の電話番号
フラワーハイム 2階,https://suumo.jp/chintai/bc_100371037270/,https://img01.suumo.com/front/gazo/fr/bukken/270/100371037270/100371037270_gw.jpg,31000,3000円,1K,17.82m2,西,アパート,築36年,東京都日野市南平１,京王線/高幡不動駅 歩8分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
フラワーハイム 2階,https://suumo.jp/chintai/bc_100371037261/,https://img01.suumo.com/front/gazo/fr/bukken/261/100371037261/100371037261_gw.jpg,31000,3000円,1K,17.82m2,西,アパート,築36年,東京都日野市南平１,京王線/高幡不動駅 歩8分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
フラワーハイム 2階,https://suumo.jp/chintai/bc_100371037231/,https://img01.suumo.com/front/gazo/fr/bukken/231/100371037231/100371037231_gw.jpg,31000,3000円,1K,17.82m2,西,アパート,築36年,東京都日野市南平１,京王線/高幡不動駅 歩8分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
西那須野 3DK 4階,https://suumo.jp/chintai/bc_100345173302/,https://img01.suumo.com/front/gazo/fr/bukken/302/100345173302/100345173302_rw.jpg,32000,-,3DK,53.08m2,南西,マンション,築41年,栃木県大田原市浅香３,ＪＲ東北本線/西那須野駅 歩62分,-,-,-,-,(株)JSC,03-6661-6962
岡本 2K 2階,https://suumo.jp/chintai/bc_100347916647/,https://img01.suumo.com/front/gazo/fr/bukken/647/100347916647/100347916647_1w.jpg,32000,-,2K,33.09m2,南,マンション,築56年,栃木県宇都宮市平出町,ＪＲ宇都宮線/岡本駅 歩37分,-,-,-,-,(株)JSC,03-6661-6962
栃木 2K 3階,https://suumo.jp/chintai/bc_100330189266/,https://img01.suumo.com/front/gazo/fr/bukken/266/100330189266/100330189266_gw.jpg,32000,-,2K,28.98m2,南,マンション,築55年,栃木県栃木市沼和田町,東武日光線/栃木駅 歩8分,-,-,-,-,(株)JSC,03-6661-6962
アルティア・レーヴ 2階,https://suumo.jp/chintai/bc_100375129608/,https://img01.suumo.com/front/gazo/fr/bukken/608/100375129608/100375129608_gw.jpg,32000,2000円,1K,17.51m2,南東,アパート,築37年,埼玉県富士見市水谷１,東武東上線/みずほ台駅 歩12分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
アルファネクスト津田沼第5 2階,https://suumo.jp/chintai/bc_100370603709/,https://img01.suumo.com/front/gazo/fr/bukken/709/100370603709/100370603709_gw.jpg,32000,3000円,1K,17.95m2,南,アパート,築37年,千葉県船橋市飯山満町３,東葉高速鉄道/飯山満駅 歩10分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
サザンビーチテラス 1階,https://suumo.jp/chintai/bc_100374106538/,https://img01.suumo.com/front/gazo/fr/bukken/538/100374106538/100374106538_gw.jpg,32000,3000円,1K,17.82m2,西,アパート,築34年,神奈川県茅ヶ崎市南湖４,ＪＲ東海道本線/茅ケ崎駅 歩20分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
コンフォートマンション 3階,https://suumo.jp/chintai/bc_100378545637/,https://img01.suumo.com/front/gazo/fr/bukken/637/100378545637/100378545637_gw.jpg,32000,3000円,ワンルーム,16.84m2,-,マンション,築40年,神奈川県大和市南林間７,小田急江ノ島線/南林間駅 歩11分,3.2万円,-,-,-,(株)ゴールドリバティ,03-3560-6280
コンフォートマンション 3階,https://suumo.jp/chintai/bc_100381799885/,https://img01.suumo.com/front/gazo/fr/bukken/885/100381799885/100381799885_gw.jpg,32000,3000円,ワンルーム,16.84m2,-,マンション,築40年,神奈川県大和市南林間７,小田急江ノ島線/南林間駅 歩11分,3.2万円,-,-,-,(株)ゴールドリバティ,03-3560-6280
スリール西八王子 2階,https://suumo.jp/chintai/bc_100379525664/,https://img01.suumo.com/front/gazo/fr/bukken/664/100379525664/100379525664_gw.jpg,32000,3000円,ワンルーム,16.15m2,北東,マンション,築34年,東京都八王子市千人町４,ＪＲ中央線/西八王子駅 歩11分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
プレイスドオーリー 2階,https://suumo.jp/chintai/bc_100346747817/,https://img01.suumo.com/front/gazo/fr/bukken/817/100346747817/100346747817_gw.jpg,32000,3000円,1K,15.94m2,東,アパート,築37年,千葉県八千代市八千代台東６,京成本線/京成大和田駅 歩4分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
グエルパーク 1階,https://suumo.jp/chintai/bc_100340064263/,https://img01.suumo.com/front/gazo/fr/bukken/263/100340064263/100340064263_gw.jpg,32000,11000円,ワンルーム,7.1m2,北,アパート,築45年,東京都墨田区押上２,東武伊勢崎線/曳舟駅 歩7分,3.2万円,1.6万円,-,-,オカベ(株),03-6222-8391
磯原 2DK 1階,https://suumo.jp/chintai/bc_100328196456/,https://img01.suumo.com/front/gazo/fr/bukken/456/100328196456/100328196456_rw.jpg,33000,-,2DK,39.83m2,南,マンション,築47年,茨城県北茨城市磯原町磯原,ＪＲ常磐線/磯原駅 歩26分,-,-,-,-,(株)JSC,03-6661-6962
竜ヶ崎 2K 1階,https://suumo.jp/chintai/bc_100336328406/,https://img01.suumo.com/front/gazo/fr/bukken/406/100336328406/100336328406_rw.jpg,33000,-,2K,28.98m2,南,マンション,築56年,茨城県龍ヶ崎市古城,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩20分,-,-,-,-,(株)JSC,03-6661-6962
銀東ハイツIII 2階,https://suumo.jp/chintai/bc_100356464960/,https://img01.suumo.com/front/gazo/fr/bukken/960/100356464960/100356464960_gw.jpg,33000,2000円,1K,14.25m2,北東,アパート,築36年,埼玉県入間郡三芳町大字藤久保,東武東上線/鶴瀬駅 歩10分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ブランニュー本厚木 1階,https://suumo.jp/chintai/bc_100379525678/,https://img01.suumo.com/front/gazo/fr/bukken/678/100379525678/100379525678_gw.jpg,33000,3000円,1K,16.64m2,南,マンション,築36年,神奈川県厚木市水引２,小田急小田原線/本厚木駅 歩13分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ワコーレエレガンス東習志野 1階,https://suumo.jp/chintai/bc_100379525658/,https://img01.suumo.com/front/gazo/fr/bukken/658/100379525658/100379525658_gw.jpg,33000,4000円,1K,21m2,南,マンション,築37年,千葉県習志野市東習志野５,京成本線/実籾駅 歩10分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ガーデンハイツ飯山A棟 3階,https://suumo.jp/chintai/bc_100374701747/,https://img01.suumo.com/front/gazo/fr/bukken/747/100374701747/100374701747_gw.jpg,34000,3000円,ワンルーム,17.7m2,南西,アパート,築42年,神奈川県厚木市飯山南４,小田急小田原線/本厚木駅 バス21分 (バス停)台ノ上 歩4分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ガーデンハイツ飯山A棟 3階,https://suumo.jp/chintai/bc_100367566995/,https://img01.suumo.com/front/gazo/fr/bukken/995/100367566995/100367566995_gw.jpg,34000,3000円,ワンルーム,17.7m2,南西,アパート,築42年,神奈川県厚木市飯山南４,小田急小田原線/本厚木駅 バス21分 (バス停)台ノ上 歩4分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ガーデンハイツ飯山B棟 2階,https://suumo.jp/chintai/bc_100367566982/,https://img01.suumo.com/front/gazo/fr/bukken/982/100367566982/100367566982_gw.jpg,34000,3000円,ワンルーム,17.7m2,南東,アパート,築42年,神奈川県厚木市飯山南４,小田急小田原線/本厚木駅 バス21分 (バス停)台ノ上 歩4分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ガーデンハイツ飯山B棟 3階,https://suumo.jp/chintai/bc_100374761883/,https://img01.suumo.com/front/gazo/fr/bukken/883/100374761883/100374761883_gw.jpg,34000,3000円,ワンルーム,17.7m2,南東,アパート,築42年,神奈川県厚木市飯山南４,小田急小田原線/本厚木駅 バス21分 (バス停)台ノ上 歩4分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ガーデンハイツ飯山A棟 3階,https://suumo.jp/chintai/bc_100374761888/,https://img01.suumo.com/front/gazo/fr/bukken/888/100374761888/100374761888_gw.jpg,34000,3000円,ワンルーム,17.7m2,南西,アパート,築42年,神奈川県厚木市飯山南４,小田急小田原線/本厚木駅 バス21分 (バス停)台ノ上 歩4分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ガーデンハイツ飯山A棟 2階,https://suumo.jp/chintai/bc_100322856326/,https://img01.suumo.com/front/gazo/fr/bukken/326/100322856326/100322856326_gw.jpg,34000,3000円,ワンルーム,17.7m2,南西,アパート,築42年,神奈川県厚木市飯山南４,小田急小田原線/本厚木駅 バス21分 (バス停)台ノ上 歩4分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
サンビレッジ新松戸 1階,https://suumo.jp/chintai/bc_100362911374/,https://img01.suumo.com/front/gazo/fr/bukken/374/100362911374/100362911374_gw.jpg,34000,3000円,1K,16m2,南,アパート,築35年,千葉県松戸市二ツ木,ＪＲ常磐線/新松戸駅 歩12分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
富士見ハイツ 1階,https://suumo.jp/chintai/bc_100374910357/,https://img01.suumo.com/front/gazo/fr/bukken/357/100374910357/100374910357_gw.jpg,34000,3000円,1K,14.11m2,南,アパート,築32年,東京都調布市富士見町４,京王線/西調布駅 歩12分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
キャピタル松戸 2階,https://suumo.jp/chintai/bc_100372505781/,https://img01.suumo.com/front/gazo/fr/bukken/781/100372505781/100372505781_gw.jpg,34000,4000円,ワンルーム,14.56m2,東,アパート,築38年,千葉県松戸市松戸,ＪＲ常磐線/松戸駅 歩11分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ジュネス伊藤 2階,https://suumo.jp/chintai/bc_100370168061/,https://img01.suumo.com/front/gazo/fr/bukken/061/100370168061/100370168061_gw.jpg,34000,5000円,1K,17.4m2,南西,アパート,築32年,千葉県柏市逆井藤ノ台,東武野田線/逆井駅 歩7分,3.4万円,-,-,-,(株)ELEMENT,03-5244-9864
GINZA　R　前橋 2階,https://suumo.jp/chintai/bc_100380710923/,https://img01.suumo.com/front/gazo/fr/bukken/923/100380710923/100380710923_gw.jpg,35000,-,2DK,46.19m2,南,アパート,築28年,群馬県前橋市上大屋町,上毛電鉄/樋越駅 歩16分,-,-,-,-,(株)プライムパートナーズ,0120-626263
GINZA　R　前橋 1階,https://suumo.jp/chintai/bc_100376047885/,https://img01.suumo.com/front/gazo/fr/bukken/885/100376047885/100376047885_gw.jpg,35000,-,2DK,46.19m2,南,アパート,築28年,群馬県前橋市上大屋町,上毛電鉄/樋越駅 歩16分,-,-,-,-,(株)プライムパートナーズ,0120-626263
GINZA　R　前橋 2階,https://suumo.jp/chintai/bc_100376046571/,https://img01.suumo.com/front/gazo/fr/bukken/571/100376046571/100376046571_gw.jpg,35000,-,2DK,46.19m2,南,アパート,築28年,群馬県前橋市上大屋町,上毛電鉄/樋越駅 歩16分,-,-,-,-,(株)プライムパートナーズ,0120-626263
朝日プラザ南橋本 3階,https://suumo.jp/chintai/bc_100365040030/,https://img01.suumo.com/front/gazo/fr/bukken/030/100365040030/100365040030_gw.jpg,35000,-,1K,17.25m2,南,マンション,築36年,神奈川県相模原市中央区南橋本２,ＪＲ相模線/南橋本駅 歩2分,3.5万円,-,-,-,(株)GROUND estate,03-5651-5860
乙未荘 2階,https://suumo.jp/chintai/bc_100377644490/,https://img01.suumo.com/front/gazo/fr/bukken/490/100377644490/100377644490_gw.jpg,35000,1000円,1K,19.44m2,南西,アパート,築62年,東京都調布市深大寺元町１,京王線/調布駅 歩20分,3.5万円,-,-,-,(株)オフィスR&M,03-3516-0018
ハローハイツ 2階,https://suumo.jp/chintai/bc_100371485385/,https://img01.suumo.com/front/gazo/fr/bukken/385/100371485385/100371485385_gw.jpg,35000,2000円,ワンルーム,14.96m2,東,アパート,築36年,埼玉県草加市長栄４,埼玉高速鉄道/戸塚安行駅 歩23分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
ハローハイツ 2階,https://suumo.jp/chintai/bc_100371485386/,https://img01.suumo.com/front/gazo/fr/bukken/386/100371485386/100371485386_gw.jpg,35000,2000円,ワンルーム,14.96m2,東,アパート,築36年,埼玉県草加市長栄４,埼玉高速鉄道/戸塚安行駅 歩23分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
サンハイツ府中 1階,https://suumo.jp/chintai/bc_100377342132/,https://img01.suumo.com/front/gazo/fr/bukken/132/100377342132/100377342132_gw.jpg,35000,2000円,ワンルーム,14.37m2,南西,アパート,築35年,東京都府中市朝日町１,西武多摩川線/多磨駅 歩7分,-,-,-,-,(株)ファミリープロパティ,03-6280-6817
プラザドゥセルリアン 2階,https://suumo.jp/chintai/bc_100374341883/,https://img01.suumo.com/front/gazo/fr/bukken/883/100374341883/100374341883_gw.jpg,35000,2100円,1K,16m2,北西,アパート,築38年,埼玉県川口市柳崎５,ＪＲ武蔵野線/東浦和駅 歩9分,3.5万円,3.5万円,-,-,(株)アーキテクト・ディベロッパー賃貸センター,0120-035420
ビレッジハウス大野7号棟 3階,https://suumo.jp/chintai/bc_100381321712/,https://img01.suumo.com/front/gazo/fr/bukken/712/100381321712/100381321712_gw.jpg,21000,-,2K,33.54m2,南東,マンション,築53年,茨城県鹿嶋市大字中,鹿島臨海鉄道/荒野台駅 歩54分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス川内1号棟 4階,https://suumo.jp/chintai/bc_100379676159/,https://img01.suumo.com/front/gazo/fr/bukken/159/100379676159/100379676159_rw.jpg,23000,-,2K,28.98m2,南,マンション,築59年,群馬県桐生市川内町２,上毛電鉄/丸山下駅 歩22分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
グッドパレス東海大前 1階,https://suumo.jp/chintai/bc_100377791842/,-,23000,3000円,1K,19.08m2,西,アパート,築38年,神奈川県平塚市南金目,小田急小田原線/東海大学前駅 歩28分,-,2.3万円,-,-,(株)ALL IN東京支店,03-6809-4180
ビレッジハウス豊浦2号棟 5階,https://suumo.jp/chintai/bc_100354789740/,https://img01.suumo.com/front/gazo/fr/bukken/740/100354789740/100354789740_gw.jpg,24000,-,2K,33.54m2,南東,マンション,築53年,栃木県那須塩原市豊浦,ＪＲ東北本線/黒磯駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス豊浦1号棟 5階,https://suumo.jp/chintai/bc_100378349743/,https://img01.suumo.com/front/gazo/fr/bukken/743/100378349743/100378349743_rw.jpg,24000,-,2K,33.54m2,南東,マンション,築53年,栃木県那須塩原市豊浦,ＪＲ東北本線/黒磯駅 歩14分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス大野7号棟 1階,https://suumo.jp/chintai/bc_100381744904/,https://img01.suumo.com/front/gazo/fr/bukken/904/100381744904/100381744904_gw.jpg,24000,-,2K,33.54m2,南東,マンション,築53年,茨城県鹿嶋市大字中,鹿島臨海鉄道/荒野台駅 歩54分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス大野7号棟 2階,https://suumo.jp/chintai/bc_100305707885/,https://img01.suumo.com/front/gazo/fr/bukken/885/100305707885/100305707885_gw.jpg,24000,-,2K,33.54m2,南東,マンション,築53年,茨城県鹿嶋市大字中,鹿島臨海鉄道/荒野台駅 歩54分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス川内1号棟 4階,https://suumo.jp/chintai/bc_100343343256/,https://img01.suumo.com/front/gazo/fr/bukken/256/100343343256/100343343256_rw.jpg,24000,-,2K,28.98m2,南,マンション,築59年,群馬県桐生市川内町２,上毛電鉄/丸山下駅 歩22分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
トーシンコーポ南生田 2階,https://suumo.jp/chintai/bc_100379580582/,https://img01.suumo.com/front/gazo/fr/bukken/582/100379580582/100379580582_gw.jpg,24000,3000円,ワンルーム,16.6m2,南,マンション,築35年,神奈川県川崎市多摩区南生田７,小田急線/生田駅 歩14分,2.4万円,-,-,2.4万円,(株)リロケーションハウス,03-5766-2300
ビレッジハウス奈良部2号棟 5階,https://suumo.jp/chintai/bc_100377209249/,https://img01.suumo.com/front/gazo/fr/bukken/249/100377209249/100377209249_rw.jpg,25000,-,2K,33.51m2,南,マンション,築53年,栃木県鹿沼市みなみ町,東武日光線/樅山駅 歩42分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス早野1号棟 4階,https://suumo.jp/chintai/bc_100369734656/,https://img01.suumo.com/front/gazo/fr/bukken/656/100369734656/100369734656_rw.jpg,25000,-,2K,28.98m2,南,マンション,築56年,千葉県茂原市緑町,ＪＲ外房線/茂原駅 バス7分 (バス停)早野 歩5分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス早野4号棟 4階,https://suumo.jp/chintai/bc_100379676132/,https://img01.suumo.com/front/gazo/fr/bukken/132/100379676132/100379676132_rw.jpg,25000,-,2K,28.98m2,南,マンション,築56年,千葉県茂原市緑町,ＪＲ外房線/茂原駅 バス7分 (バス停)早野 歩6分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス豊浦2号棟 5階,https://suumo.jp/chintai/bc_100372371399/,https://img01.suumo.com/front/gazo/fr/bukken/399/100372371399/100372371399_gw.jpg,26000,-,2K,33.54m2,南東,マンション,築53年,栃木県那須塩原市豊浦,ＪＲ東北本線/黒磯駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス奈良部2号棟 5階,https://suumo.jp/chintai/bc_100377209178/,https://img01.suumo.com/front/gazo/fr/bukken/178/100377209178/100377209178_rw.jpg,26000,-,2K,33.51m2,南,マンション,築53年,栃木県鹿沼市みなみ町,東武日光線/樅山駅 歩42分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス早野1号棟 3階,https://suumo.jp/chintai/bc_100301011630/,https://img01.suumo.com/front/gazo/fr/bukken/630/100301011630/100301011630_rw.jpg,26000,-,2K,28.98m2,南,マンション,築56年,千葉県茂原市緑町,ＪＲ外房線/茂原駅 バス7分 (バス停)早野 歩5分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス東大橋2号棟 3階,https://suumo.jp/chintai/bc_100309924128/,https://img01.suumo.com/front/gazo/fr/bukken/128/100309924128/100309924128_rw.jpg,26000,-,2K,28.98m2,南東,マンション,築58年,茨城県石岡市東光台５,ＪＲ常磐線/石岡駅 バス8分 (バス停)関東鉄道バス　東田中駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス東大橋1号棟 3階,https://suumo.jp/chintai/bc_100369944094/,https://img01.suumo.com/front/gazo/fr/bukken/094/100369944094/100369944094_rw.jpg,26000,-,2K,28.98m2,南東,マンション,築58年,茨城県石岡市東光台５,ＪＲ常磐線/石岡駅 バス8分 (バス停)東田中駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス西那須野2号棟 5階,https://suumo.jp/chintai/bc_100373489561/,https://img01.suumo.com/front/gazo/fr/bukken/561/100373489561/100373489561_gw.jpg,27000,-,2DK,39.83m2,南,マンション,築48年,栃木県那須塩原市下永田５,ＪＲ東北本線/西那須野駅 バス6分 (バス停)西幸町 歩1分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス西那須野2号棟 5階,https://suumo.jp/chintai/bc_100373489571/,https://img01.suumo.com/front/gazo/fr/bukken/571/100373489571/100373489571_gw.jpg,27000,-,2DK,39.83m2,南,マンション,築48年,栃木県那須塩原市下永田５,ＪＲ東北本線/西那須野駅 バス6分 (バス停)西幸町 歩1分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス豊浦2号棟 4階,https://suumo.jp/chintai/bc_100372371379/,https://img01.suumo.com/front/gazo/fr/bukken/379/100372371379/100372371379_rw.jpg,27000,-,2K,33.54m2,南東,マンション,築53年,栃木県那須塩原市豊浦,ＪＲ東北本線/黒磯駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス東大橋2号棟 4階,https://suumo.jp/chintai/bc_100370337643/,https://img01.suumo.com/front/gazo/fr/bukken/643/100370337643/100370337643_rw.jpg,27000,-,2K,28.98m2,南東,マンション,築58年,茨城県石岡市東光台５,ＪＲ常磐線/石岡駅 バス8分 (バス停)関東鉄道バス　東田中駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス川内1号棟 1階,https://suumo.jp/chintai/bc_100312162956/,https://img01.suumo.com/front/gazo/fr/bukken/956/100312162956/100312162956_rw.jpg,27000,-,2K,28.98m2,南,マンション,築59年,群馬県桐生市川内町２,上毛電鉄/丸山下駅 歩22分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス大泉1号棟 5階,https://suumo.jp/chintai/bc_100380383675/,https://img01.suumo.com/front/gazo/fr/bukken/675/100380383675/100380383675_rw.jpg,28000,-,2K,33.09m2,南,マンション,築54年,群馬県邑楽郡大泉町丘山,東武小泉線/西小泉駅 バス6分 (バス停)朝日バス　丘山住宅前 歩4分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス北茨城2号棟 2階,https://suumo.jp/chintai/bc_100360511685/,https://img01.suumo.com/front/gazo/fr/bukken/685/100360511685/100360511685_rw.jpg,28000,-,2K,33.09m2,南,マンション,築54年,茨城県北茨城市大津町,ＪＲ常磐線/大津港駅 歩23分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス北茨城2号棟 2階,https://suumo.jp/chintai/bc_100372371388/,https://img01.suumo.com/front/gazo/fr/bukken/388/100372371388/100372371388_rw.jpg,28000,-,2K,33.09m2,南,マンション,築54年,茨城県北茨城市大津町,ＪＲ常磐線/大津港駅 歩23分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス東大橋1号棟 1階,https://suumo.jp/chintai/bc_100369944068/,https://img01.suumo.com/front/gazo/fr/bukken/068/100369944068/100369944068_rw.jpg,28000,-,2K,28.98m2,南東,マンション,築58年,茨城県石岡市東光台５,ＪＲ常磐線/石岡駅 バス8分 (バス停)東田中駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
シーサイドハウス 2階,https://suumo.jp/chintai/bc_100376536598/,https://img01.suumo.com/front/gazo/fr/bukken/598/100376536598/100376536598_rw.jpg,28000,3000円,ワンルーム,19.87m2,南西,アパート,築25年,千葉県いすみ市岬町江場土,ＪＲ外房線/三門駅 歩12分,-,-,-,-,(株)シエルトパートナー,03-6277-7500
ビレッジハウス小林1号棟 4階,https://suumo.jp/chintai/bc_100366162489/,https://img01.suumo.com/front/gazo/fr/bukken/489/100366162489/100366162489_rw.jpg,28500,-,2K,33.51m2,南西,マンション,築53年,群馬県藤岡市小林,ＪＲ八高線/群馬藤岡駅 バス7分 (バス停)藤岡市バス　老人福祉センター 歩2分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス烏山2号棟 4階,https://suumo.jp/chintai/bc_100301877762/,https://img01.suumo.com/front/gazo/fr/bukken/762/100301877762/100301877762_rw.jpg,29000,-,2DK,39.83m2,南東,マンション,築46年,栃木県那須烏山市城東,ＪＲ烏山線/烏山駅 歩21分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス烏山1号棟 5階,https://suumo.jp/chintai/bc_100303001752/,https://img01.suumo.com/front/gazo/fr/bukken/752/100303001752/100303001752_rw.jpg,29000,-,2DK,39.83m2,南東,マンション,築46年,栃木県那須烏山市城東,ＪＲ烏山線/烏山駅 歩21分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス壬生1号棟 1階,https://suumo.jp/chintai/bc_100381321698/,https://img01.suumo.com/front/gazo/fr/bukken/698/100381321698/100381321698_gw.jpg,29000,-,2K,28.98m2,南,マンション,築58年,栃木県下都賀郡壬生町幸町１,東武宇都宮線/おもちゃのまち駅 歩5分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス川内1号棟 1階,https://suumo.jp/chintai/bc_100379676128/,https://img01.suumo.com/front/gazo/fr/bukken/128/100379676128/100379676128_rw.jpg,29000,-,2K,28.98m2,南,マンション,築59年,群馬県桐生市川内町２,上毛電鉄/丸山下駅 歩22分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス壬生1号棟 2階,https://suumo.jp/chintai/bc_100381321714/,https://img01.suumo.com/front/gazo/fr/bukken/714/100381321714/100381321714_gw.jpg,29000,-,2K,28.98m2,南,マンション,築58年,栃木県下都賀郡壬生町幸町１,東武宇都宮線/おもちゃのまち駅 歩5分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
ビレッジハウス東大橋2号棟 1階,https://suumo.jp/chintai/bc_100371451142/,https://img01.suumo.com/front/gazo/fr/bukken/142/100371451142/100371451142_gw.jpg,29000,-,2K,28.98m2,南東,マンション,築58年,茨城県石岡市東光台５,ＪＲ常磐線/石岡駅 バス8分 (バス停)関東鉄道バス　東田中駅 歩15分,-,-,-,-,ビレッジハウス 住まい相談センター(関東北信越エリア)ビレッジハウス・マネジメント(株),0120-266191
サンパレス誉田　Ａ棟 3階,https://suumo.jp/chintai/bc_100378442962/,https://img01.suumo.com/front/gazo/fr/bukken/962/100378442962/100378442962_gw.jpg,29000,2000円,1K,20.28m2,南,アパート,築29年,千葉県千葉市緑区誉田町２,ＪＲ外房線/誉田駅 歩8分,-,-,-,-,(株)ジョイント・プロパティ,03-5418-8204
スカイコート相武台 3階,https://suumo.jp/chintai/bc_100377078609/,https://img01.suumo.com/front/gazo/fr/bukken/609/100377078609/100377078609_gw.jpg,29000,4000円,ワンルーム,16.47m2,南,マンション,築34年,神奈川県座間市栗原,小田急小田原線/相武台前駅 歩11分,-,-,-,-,トラストリアルエステート(株),03-5777-0468
