物件名,URL,イメージ画像,賃料,管理費,間取り,専有面積,向き,物件種別,築年数,住所,最寄り駅と距離,敷金,礼金,保証金,敷引・償却,取り扱い店舗,取り扱い店舗の電話番号
スカイコート柏 2階,https://suumo.jp/chintai/bc_100352619635/,https://img01.suumo.com/front/gazo/fr/bukken/635/100352619635/100352619635_gw.jpg,36000,11000円,ワンルーム,17.98m2,東,マンション,築30年,千葉県柏市北柏２,ＪＲ常磐線/北柏駅 歩3分,-,3.6万円,-,-,リブマックス秋葉原店(株)リブ・マックス,03-5297-8877
未確認飛行物体 2階,https://suumo.jp/chintai/bc_100357277329/,https://img01.suumo.com/front/gazo/fr/bukken/329/100357277329/100357277329_rw.jpg,37000,2000円,1DK,18.8m2,-,アパート,築36年,埼玉県入間郡毛呂山町前久保南３,東武越生線/武州長瀬駅 歩6分,-,-,-,-,(株)アブレイズパートナーズ,03-6262-9556
カトウコーポ 2階,https://suumo.jp/chintai/bc_100375340135/,https://img01.suumo.com/front/gazo/fr/bukken/135/100375340135/100375340135_rw.jpg,37000,2000円,1K,18m2,西,アパート,築38年,埼玉県朝霞市溝沼６,東武東上線/朝霞台駅 歩14分,-,-,-,-,(株)アブレイズパートナーズ,03-6262-9556
館林ガーデンヒルズ 2階,https://suumo.jp/chintai/bc_100362813663/,https://img01.suumo.com/front/gazo/fr/bukken/663/100362813663/100362813663_gw.jpg,37000,3000円,1DK,28.85m2,南西,マンション,築37年,群馬県館林市本町４,東武伊勢崎線/館林駅 歩13分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ミキコーポ新所沢 1階,https://suumo.jp/chintai/bc_100371736813/,https://img01.suumo.com/front/gazo/fr/bukken/813/100371736813/100371736813_gw.jpg,37000,3000円,1K,18.83m2,南東,アパート,築34年,埼玉県所沢市北所沢町,西武新宿線/新所沢駅 歩8分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
エムロード蕨 1階,https://suumo.jp/chintai/bc_100379633653/,https://img01.suumo.com/front/gazo/fr/bukken/653/100379633653/100379633653_rw.jpg,37000,3000円,1K,17.28m2,南東,マンション,築31年,埼玉県川口市上青木西４,ＪＲ京浜東北線/蕨駅 バス12分 (バス停)前川１丁目 歩1分,-,-,-,-,アパルトマンエージェント(株)東京支社,03-5822-1087
サン・フローラ・ケミガワ 2階,https://suumo.jp/chintai/bc_100369312040/,https://img01.suumo.com/front/gazo/fr/bukken/040/100369312040/100369312040_gw.jpg,37000,3000円,ワンルーム,16.14m2,南,アパート,築37年,千葉県千葉市花見川区南花園１,ＪＲ総武線/新検見川駅 歩5分,-,-,-,-,住友不動産販売(株)八重洲営業センター,0120-977619
スカイコート白楽A号棟 1階,https://suumo.jp/chintai/bc_100372701723/,https://img01.suumo.com/front/gazo/fr/bukken/723/100372701723/100372701723_gw.jpg,37000,3000円,ワンルーム,15.41m2,-,マンション,築36年,神奈川県横浜市神奈川区白楽,東急東横線/白楽駅 歩1分,1.85万円,-,-,-,(株)デクセル,03-5577-5651
サークルハウス竹ノ塚六番館 1階,https://suumo.jp/chintai/bc_100380295017/,https://img01.suumo.com/front/gazo/fr/bukken/017/100380295017/100380295017_gw.jpg,37000,3000円,ワンルーム,9.23m2,南,アパート,築7年,東京都足立区竹の塚１,東武伊勢崎線/竹ノ塚駅 歩7分,-,-,-,-,(株)Vision秋葉原店,03-5207-5055
東十条 ワンルーム 4階,https://suumo.jp/chintai/bc_100378553450/,https://img01.suumo.com/front/gazo/fr/bukken/450/100378553450/100378553450_gw.jpg,37000,3000円,ワンルーム,7.15m2,-,マンション,築39年,東京都北区中十条２,ＪＲ京浜東北線/東十条駅 歩2分,-,-,-,-,(株)東京めぞん,03-5280-7180
プレシャスアース取手 1階,https://suumo.jp/chintai/bc_100374604992/,https://img01.suumo.com/front/gazo/fr/bukken/992/100374604992/100374604992_gw.jpg,37000,6000円,1K,21.11m2,東,アパート,築9年,茨城県取手市井野１,ＪＲ常磐線/取手駅 歩17分,-,-,-,-,(株)リクシード,0800-8886101
クロノス東青梅 2階,https://suumo.jp/chintai/bc_100364312537/,https://img01.suumo.com/front/gazo/fr/bukken/537/100364312537/100364312537_gw.jpg,37000,11000円,ワンルーム,13.97m2,西,マンション,築37年,東京都青梅市東青梅２,ＪＲ青梅線/東青梅駅 歩5分,-,3.7万円,-,-,リブマックス神田店(株)リブマックスリーシング,03-5295-1515
東大宮 1K 2階,https://suumo.jp/chintai/bc_100334270305/,https://img01.suumo.com/front/gazo/fr/bukken/305/100334270305/100334270305_gw.jpg,37000,11000円,1K,13.3m2,南東,アパート,築34年,埼玉県上尾市大字瓦葺,ＪＲ宇都宮線/東大宮駅 歩12分,-,3.7万円,-,-,リブマックス秋葉原店(株)リブ・マックス,03-5297-8877
東大宮 1K 2階,https://suumo.jp/chintai/bc_100334343315/,https://img01.suumo.com/front/gazo/fr/bukken/315/100334343315/100334343315_gw.jpg,37000,11000円,1K,13.3m2,南東,アパート,築34年,埼玉県上尾市大字瓦葺,ＪＲ宇都宮線/東大宮駅 歩12分,-,3.7万円,-,-,リブマックス神田店(株)リブマックスリーシング,03-5295-1515
